team1,t1pyth,team2,t2pyth
Grambling,0.122,Louisiana Monroe,0.878
Appalachian State,0.645,Louisiana,0.355
Florida A&M,0.0,UCF,1.0
Wagner,0.334,Connecticut,0.666
East Carolina,0.016,Navy,0.984
South Carolina State,0.0,South Florida,1.0
Missouri State,0.001,Tulane,0.999
Houston,0.389,Tulane,0.611
William & Mary,0.026,East Carolina,0.974
Navy,0.142,Memphis,0.858
SMU,0.861,South Florida,0.139
Connecticut,0.003,UCF,0.997
Temple,0.674,East Carolina,0.326
UCF,0.132,Cincinnati,0.868
South Florida,0.918,Connecticut,0.082
Tulsa,0.409,SMU,0.591
Bucknell,0.002,Temple,0.998
Holy Cross,0.016,Navy,0.984
Memphis,0.279,Temple,0.721
Gardner-Webb,0.002,East Carolina,0.998
Connecticut,0.002,Tulane,0.998
Cincinnati,0.937,Houston,0.063
Houston,0.277,Connecticut,0.723
South Florida,0.11,Navy,0.89
Tulsa,0.039,Cincinnati,0.961
Temple,0.014,SMU,0.986
Tulane,0.009,Memphis,0.991
East Carolina,0.059,UCF,0.941
Prairie View,0.438,Houston,0.562
Southern,0.018,Memphis,0.982
Navy,0.759,Tulsa,0.241
Louisiana,0.846,Georgia Southern,0.154
