team1,t1pyth,team2,t2pyth
TCU,0.046,Texas,0.954
Army,0.052,Oklahoma,0.948
Texas Tech,0.845,Oklahoma State,0.155
Oklahoma State,0.95,Kansas,0.05
West Virginia,0.964,Texas Tech,0.036
Texas,0.839,Kansas State,0.161
Baylor,0.003,Oklahoma,0.997
Iowa State,0.583,TCU,0.417
Kansas,0.119,West Virginia,0.881
Texas,0.346,Oklahoma,0.654
Iowa State,0.777,Oklahoma State,0.223
Kansas State,0.365,Baylor,0.635
Kansas,0.079,Baylor,0.921
Baylor,0.0,West Virginia,1.0
Texas Tech,0.675,TCU,0.325
Oklahoma,0.744,West Virginia,0.256
Oklahoma State,0.054,Kansas State,0.946
Baylor,0.292,Texas,0.708
West Virginia,0.01,Iowa State,0.99
Oklahoma,0.979,TCU,0.021
Drake,0.729,Iowa State,0.271
Texas,0.262,Kansas,0.738
Kansas,0.075,Texas Tech,0.925
TCU,0.014,West Virginia,0.986
Baylor,0.744,Texas Tech,0.256
Texas,0.258,Oklahoma,0.742
Kansas,0.172,Kansas State,0.828
Oklahoma State,0.709,Baylor,0.291
Texas Tech,0.059,Iowa State,0.941
Texas,0.202,Oklahoma State,0.798
TCU,0.749,Kansas,0.251
Kansas State,0.0,Oklahoma,1.0
Kansas State,0.118,TCU,0.882
Baylor,0.698,Iowa State,0.302
Texas Tech,0.017,Kansas State,0.983
Oklahoma State,0.076,Oklahoma,0.924
Iowa State,0.024,Texas,0.976
West Virginia,0.636,Texas,0.364
Kansas State,0.318,Iowa State,0.682
West Virginia,0.783,Oklahoma State,0.217
Oklahoma State,0.034,TCU,0.966
Kansas,0.774,Oklahoma,0.226
Texas,0.085,Georgia,0.915
Baylor,0.438,Vanderbilt,0.562
Oklahoma,0.648,Alabama,0.352
Missouri,0.047,Oklahoma State,0.953
Iowa State,0.745,Washington State,0.255
California,0.305,TCU,0.695
New Mexico State,0.021,Minnesota,0.979
Northwestern,0.646,Purdue,0.354
Utah State,0.164,Michigan State,0.836
Western Kentucky,0.024,Wisconsin,0.976
Texas State,0.056,Rutgers,0.944
Kent State,0.146,Illinois,0.854
Oregon State,0.022,Ohio State,0.978
Northern Illinois,0.054,Iowa,0.946
Appalachian State,0.351,Penn State,0.649
New Mexico,0.003,Wisconsin,0.997
Western Michigan,0.002,Michigan,0.998
Eastern Michigan,0.405,Purdue,0.595
Rutgers,0.0,Ohio State,1.0
Colorado,0.394,Nebraska,0.606
Maryland,0.997,Bowling Green,0.003
Fresno State,0.369,Minnesota,0.631
Western Illinois,0.081,Illinois,0.919
Michigan State,0.396,Arizona State,0.604
Indiana,0.94,Florida International,0.06
Ball State,0.181,Indiana,0.819
Temple,0.959,Maryland,0.041
Troy,0.406,Nebraska,0.594
Kent State,0.001,Penn State,0.999
BYU,0.579,Wisconsin,0.421
Miami (OH),0.119,Minnesota,0.881
SMU,0.071,Michigan,0.929
South Florida,0.912,Illinois,0.088
Michigan,0.283,Notre Dame,0.717
Nebraska,0.002,Michigan,0.998
Tulane,0.013,Ohio State,0.987
Michigan State,0.369,Indiana,0.631
Wisconsin,0.86,Iowa,0.14
Central Michigan,0.119,Michigan State,0.881
Indiana,0.609,Rutgers,0.391
Purdue,0.419,Nebraska,0.581
Michigan,0.926,Northwestern,0.074
Ohio State,0.142,Penn State,0.858
Illinois,0.967,Rutgers,0.033
Northwestern,0.222,Michigan State,0.778
Northern Iowa,0.015,Iowa,0.985
Missouri,0.193,Purdue,0.807
Akron,0.687,Northwestern,0.313
Penn State,0.945,Illinois,0.055
Maryland,0.031,Michigan,0.969
Iowa,0.912,Minnesota,0.088
Indiana,0.201,Ohio State,0.799
Nebraska,0.449,Wisconsin,0.551
Minnesota,0.001,Maryland,0.999
Buffalo,0.79,Rutgers,0.21
Nebraska,0.304,Northwestern,0.696
Minnesota,0.048,Ohio State,0.952
Purdue,0.989,Illinois,0.011
Michigan State,0.263,Penn State,0.737
Rutgers,0.001,Maryland,0.999
Iowa,0.957,Indiana,0.043
Indiana,0.141,Minnesota,0.859
Northwestern,0.94,Minnesota,0.06
Nebraska,0.23,Iowa,0.77
Michigan,0.956,Michigan State,0.044
Rutgers,0.323,Wisconsin,0.677
Purdue,0.419,Indiana,0.581
Michigan State,0.974,Maryland,0.026
Bethune-Cookman,0.039,Nebraska,0.961
Minnesota,0.046,Nebraska,0.954
Penn State,0.85,Rutgers,0.15
Penn State,0.626,Indiana,0.374
Michigan State,0.505,Nebraska,0.495
Wisconsin,0.484,Northwestern,0.516
Illinois,0.011,Nebraska,0.989
Wisconsin,0.034,Michigan,0.966
Maryland,0.045,Iowa,0.955
Northwestern,0.423,Rutgers,0.577
Illinois,0.004,Wisconsin,0.996
Purdue,0.114,Michigan State,0.886
Nebraska,0.585,Ohio State,0.415
Ohio State,0.85,Michigan State,0.15
Maryland,0.197,Indiana,0.803
Ohio State,0.18,Maryland,0.82
Northwestern,0.056,Ohio State,0.944
Ohio State,0.103,Purdue,0.897
Illinois,0.41,Northwestern,0.59
Michigan,0.014,Ohio State,0.986
Purdue,0.032,Minnesota,0.968
Maryland,0.017,Penn State,0.983
Minnesota,0.912,Wisconsin,0.088
Michigan,0.981,Rutgers,0.019
Iowa,0.569,Purdue,0.431
Iowa,0.326,Penn State,0.674
Illinois,0.012,Maryland,0.988
Penn State,0.006,Michigan,0.994
Rutgers,0.191,Michigan State,0.809
Minnesota,0.023,Illinois,0.977
Northwestern,0.228,Iowa,0.772
Iowa,0.996,Illinois,0.004
Wisconsin,0.873,Purdue,0.127
Indiana,0.063,Michigan,0.937
Notre Dame,0.895,Northwestern,0.105
Florida,0.975,Michigan,0.025
Kentucky,0.48,Penn State,0.52
Mississippi State,0.604,Iowa,0.396
Purdue,0.997,Auburn,0.003
Michigan State,0.369,Oregon,0.631
Washington,0.514,Ohio State,0.486
Northwestern,0.035,Utah,0.965
Northwestern State,0.01,Texas A&M,0.99
Coastal Carolina,0.005,South Carolina,0.995
Austin Peay,0.002,Georgia,0.998
Central Michigan,0.565,Kentucky,0.435
Washington,0.23,Auburn,0.77
UT Martin,0.011,Missouri,0.989
Eastern Illinois,0.003,Arkansas,0.997
Auburn,0.057,Georgia,0.943
Alabama,0.993,LSU,0.007
Ole Miss,0.796,Vanderbilt,0.204
LSU,0.92,Arkansas,0.08
Charleston Southern,0.003,Florida,0.997
Middle Tennessee,0.028,Vanderbilt,0.972
Stephen F. Austin,0.001,Mississippi State,0.999
Nevada,0.008,Vanderbilt,0.992
Georgia,0.928,South Carolina,0.072
Southern Illinois,0.011,Ole Miss,0.989
East Tennessee State,0.002,Tennessee,0.998
Southeastern Louisiana,0.008,LSU,0.992
Wyoming,0.016,Missouri,0.984
Alabama State,0.004,Auburn,0.996
Kentucky,0.885,Florida,0.115
Arkansas,0.447,Colorado State,0.553
Middle Tennessee,0.003,Georgia,0.997
UTEP,0.013,Tennessee,0.987
Murray State,0.018,Kentucky,0.982
Vanderbilt,0.15,Notre Dame,0.85
LSU,0.817,Auburn,0.183
Colorado State,0.011,Florida,0.989
North Texas,0.987,Arkansas,0.013
Alabama,0.986,Ole Miss,0.014
Louisiana,0.012,Mississippi State,0.988
Louisiana Monroe,0.032,Texas A&M,0.968
Georgia,0.961,Missouri,0.039
Kent State,0.005,Ole Miss,0.995
Texas A&M,0.009,Alabama,0.991
South Carolina,0.936,Vanderbilt,0.064
Mississippi State,0.14,Kentucky,0.86
Louisiana Tech,0.295,LSU,0.705
Arkansas,0.236,Auburn,0.764
Florida,0.996,Tennessee,0.004
Louisiana,0.001,Alabama,0.999
Arkansas,0.323,Texas A&M,0.677
Tennessee State,0.14,Vanderbilt,0.86
Tennessee,0.03,Georgia,0.97
Florida,0.781,Mississippi State,0.219
Southern Mississippi,0.051,Auburn,0.949
South Carolina,0.078,Kentucky,0.922
Ole Miss,0.049,LSU,0.951
Alabama,0.999,Arkansas,0.001
Missouri,0.654,South Carolina,0.346
Louisiana Monroe,0.0,Ole Miss,1.0
LSU,0.094,Florida,0.906
Kentucky,0.236,Texas A&M,0.764
Auburn,0.109,Mississippi State,0.891
Vanderbilt,0.02,Georgia,0.98
Tennessee,0.866,Auburn,0.134
Florida,0.538,Vanderbilt,0.462
Texas A&M,0.93,South Carolina,0.07
Georgia,0.007,LSU,0.993
Missouri,0.001,Alabama,0.999
Ole Miss,0.856,Arkansas,0.144
Tulsa,0.262,Arkansas,0.738
Auburn,0.774,Ole Miss,0.226
Mississippi State,0.995,Ole Miss,0.005
Middle Tennessee,0.165,Kentucky,0.835
Akron,0.123,South Carolina,0.877
Texas A&M,0.03,Mississippi State,0.97
South Carolina,0.196,Florida,0.804
Memphis,0.003,Missouri,0.997
Vanderbilt,0.839,Missouri,0.161
Idaho,0.002,Florida,0.998
Arkansas,0.012,Missouri,0.988
Vanderbilt,0.738,Arkansas,0.262
Texas A&M,0.321,Auburn,0.679
Arkansas,0.002,Mississippi State,0.998
Tennessee,0.301,South Carolina,0.699
Ole Miss,0.553,Texas A&M,0.447
South Carolina,0.626,Ole Miss,0.374
Alabama,0.152,Georgia,0.848
Mississippi State,0.138,LSU,0.862
Vanderbilt,0.488,Kentucky,0.512
Florida,0.008,Georgia,0.992
Auburn,0.01,Alabama,0.99
Mississippi State,0.278,Alabama,0.722
Tennessee,0.044,Vanderbilt,0.956
Charlotte,0.321,Tennessee,0.679
Kentucky,0.016,Tennessee,0.984
Kentucky,0.665,Missouri,0.335
Missouri,0.969,Tennessee,0.031
Missouri,0.857,Florida,0.143
UMass,0.007,Georgia,0.993
Liberty,0.0,Auburn,1.0
Alabama,0.968,Tennessee,0.032
LSU,0.5,Texas A&M,0.5
UAB,0.024,Texas A&M,0.976
Rice,0.008,LSU,0.992
Chattanooga,0.007,South Carolina,0.993
Louisiana Tech,0.003,Mississippi State,0.997
LSU,0.966,UCF,0.034
Weber State,0.008,Utah,0.992
Washington State,0.779,Wyoming,0.221
UNLV,0.087,USC,0.913
San Diego State,0.125,Stanford,0.875
Colorado,0.99,Colorado State,0.01
Cincinnati,0.352,UCLA,0.648
Bowling Green,0.05,Oregon,0.95
Stanford,0.191,Washington,0.809
UCLA,0.044,Oregon,0.956
USC,0.892,Oregon State,0.108
Arizona,0.004,Washington State,0.996
Arizona State,0.562,Oregon,0.438
UT San Antonio,0.0,Arizona State,1.0
BYU,0.673,Arizona,0.327
Arizona,0.051,Houston,0.949
Portland State,0.009,Oregon,0.991
North Dakota,0.011,Washington,0.989
USC,0.955,Stanford,0.045
California,0.678,BYU,0.322
Utah,0.873,Northern Illinois,0.127
Southern Utah,0.085,Oregon State,0.915
San Jos̩ State,0.013,Washington State,0.987
San Jos̩ State,0.139,Oregon,0.861
New Hampshire,0.006,Colorado,0.994
Idaho State,0.158,California,0.842
Oregon State,0.415,Nevada,0.585
Eastern Washington,0.003,Washington State,0.997
Washington,0.925,Utah,0.075
Fresno State,0.913,UCLA,0.087
Arizona State,0.542,San Diego State,0.458
Southern Utah,0.007,Arizona,0.993
Washington State,0.502,USC,0.498
Arizona,0.992,Oregon State,0.008
UC Davis,0.106,Stanford,0.894
Oregon State,0.035,Stanford,0.965
Stanford,0.902,Oregon,0.098
Arizona State,0.097,Washington,0.903
California,0.47,USC,0.53
UCLA,0.067,Colorado,0.933
California,0.086,Washington State,0.914
Utah,0.181,Washington State,0.819
Oregon State,0.028,Arizona State,0.972
Oregon,0.987,California,0.013
Stanford,0.012,Notre Dame,0.988
BYU,0.013,Washington,0.987
Washington State,0.777,Oregon State,0.223
Arizona State,0.263,Colorado,0.737
Washington,0.386,UCLA,0.614
California,0.674,Arizona,0.326
Washington,0.593,Oregon,0.407
UCLA,0.942,California,0.058
Utah,0.96,Stanford,0.04
Colorado,0.197,USC,0.803
Arizona,0.065,Utah,0.935
Stanford,0.644,Arizona State,0.356
Washington,0.175,California,0.825
Utah,0.05,Washington,0.95
Washington,0.985,Washington State,0.015
Colorado,0.031,Arizona,0.969
Utah,0.974,UCLA,0.026
Colorado,0.301,Washington,0.699
Washington State,0.812,Stanford,0.188
California,0.996,Oregon State,0.004
Utah,0.994,Colorado,0.006
Oregon,0.994,Oregon State,0.006
Stanford,0.801,California,0.199
UCLA,0.518,Arizona State,0.482
Oregon,0.621,Washington State,0.379
USC,0.013,Utah,0.987
Arizona State,0.483,USC,0.517
Stanford,0.646,UCLA,0.354
Oregon State,0.042,Colorado,0.958
Arizona,0.413,UCLA,0.587
Washington State,0.954,Colorado,0.046
Utah,0.014,Arizona State,0.986
Colorado,0.057,California,0.943
USC,0.343,UCLA,0.657
Notre Dame,0.782,USC,0.218
Oregon State,0.014,Washington,0.986
BYU,0.567,Utah,0.433
Arizona State,0.651,Arizona,0.349
Oregon,0.149,Utah,0.851
Arizona State,0.114,Fresno State,0.886
Prairie View,0.443,Rice,0.557
Houston,0.931,Rice,0.069
Marshall,0.412,Miami (OH),0.588
Old Dominion,0.005,Liberty,0.995
Jackson State,0.018,Southern Mississippi,0.982
Louisiana Tech,0.891,South Alabama,0.109
Northern Arizona,0.952,UTEP,0.048
SMU,0.065,North Texas,0.935
Fordham,0.03,Charlotte,0.97
Southern Mississippi,0.285,UAB,0.715
Air Force,0.065,Florida Atlantic,0.935
Appalachian State,0.993,Charlotte,0.007
Eastern Kentucky,0.021,Marshall,0.979
Southern,0.008,Louisiana Tech,0.992
Louisiana Monroe,0.761,Southern Mississippi,0.239
UAB,0.124,Coastal Carolina,0.876
UT Martin,0.058,Middle Tennessee,0.942
Incarnate Word,0.007,North Texas,0.993
Maine,0.237,Western Kentucky,0.763
Florida International,0.374,Old Dominion,0.626
UTEP,0.01,UNLV,0.99
Rice,0.101,Hawai'i,0.899
Old Dominion,0.406,Charlotte,0.594
Tulane,0.159,UAB,0.841
Bethune-Cookman,0.114,Florida Atlantic,0.886
UMass,0.101,Florida International,0.899
Florida Atlantic,0.023,UCF,0.977
Western Kentucky,0.578,Ball State,0.422
Charlotte,0.29,UMass,0.71
Texas State,0.223,UT San Antonio,0.777
New Mexico State,0.71,UTEP,0.29
North Texas,0.976,Liberty,0.024
Charlotte,0.031,UAB,0.969
UTEP,0.293,UT San Antonio,0.707
Florida Atlantic,0.48,Middle Tennessee,0.52
Arkansas-Pine Bluff,0.0,Florida International,1.0
Marshall,0.539,Western Kentucky,0.461
Louisiana Tech,0.573,North Texas,0.427
Middle Tennessee,0.914,Marshall,0.086
Old Dominion,0.016,Florida Atlantic,0.984
UT San Antonio,0.911,Rice,0.089
North Texas,0.741,UTEP,0.259
UAB,0.947,Louisiana Tech,0.053
Louisiana Tech,0.665,Florida Atlantic,0.335
UAB,0.981,Rice,0.019
Southern Mississippi,0.078,North Texas,0.922
Western Kentucky,0.019,Charlotte,0.981
Marshall,0.924,Old Dominion,0.076
Louisiana Tech,0.69,UT San Antonio,0.31
Middle Tennessee,0.155,Florida International,0.845
Western Kentucky,0.073,Middle Tennessee,0.927
Savannah State,0.007,UAB,0.993
Florida Atlantic,0.25,North Texas,0.75
Marshall,0.399,Florida International,0.601
UTEP,0.268,Louisiana Tech,0.732
Charlotte,0.913,Middle Tennessee,0.087
Florida Atlantic,0.018,Marshall,0.982
UAB,0.905,UTEP,0.095
Western Kentucky,0.173,Louisiana Tech,0.827
Florida International,0.846,Western Kentucky,0.154
UAB,0.285,Middle Tennessee,0.715
Old Dominion,0.034,Rice,0.966
UT San Antonio,0.128,Southern Mississippi,0.872
Rice,0.006,Florida International,0.994
VMI,0.002,Old Dominion,0.998
Southern Mississippi,0.671,Charlotte,0.329
North Texas,0.573,UAB,0.427
Old Dominion,0.268,Western Kentucky,0.732
Marshall,0.274,Southern Mississippi,0.726
Charlotte,0.152,Marshall,0.848
Florida International,0.914,Charlotte,0.086
Southern Mississippi,0.996,UTEP,0.004
Middle Tennessee,0.907,Old Dominion,0.093
UT San Antonio,0.001,Marshall,0.999
UAB,0.003,Middle Tennessee,0.997
UTEP,0.418,Rice,0.582
Middle Tennessee,0.931,UTEP,0.069
Rice,0.027,North Texas,0.973
North Texas,0.339,Old Dominion,0.661
Louisiana Tech,0.724,Southern Mississippi,0.276
North Texas,0.781,UT San Antonio,0.219
Western Kentucky,0.046,Florida Atlantic,0.954
Florida Atlantic,0.997,Florida International,0.003
Rice,0.166,Louisiana Tech,0.834
Florida International,0.996,UT San Antonio,0.004
UTEP,0.097,Western Kentucky,0.903
UT San Antonio,0.0,UAB,1.0
Florida International,0.248,Toledo,0.752
UAB,0.012,Northern Illinois,0.988
Marshall,0.931,South Florida,0.069
Middle Tennessee,0.245,Appalachian State,0.755
Utah State,0.003,North Texas,0.997
Hawai'i,0.962,Louisiana Tech,0.038
Central Connecticut,0.008,Ball State,0.992
Monmouth,0.051,Eastern Michigan,0.949
Howard,0.261,Ohio,0.739
Delaware State,0.008,Buffalo,0.992
VMI,0.0,Toledo,1.0
Morgan State,0.019,Akron,0.981
Buffalo,0.831,Temple,0.169
Ball State,0.206,Notre Dame,0.794
Howard,0.025,Kent State,0.975
Central Michigan,0.307,Northern Illinois,0.693
Eastern Kentucky,0.679,Bowling Green,0.321
Eastern Michigan,0.265,Buffalo,0.735
Delaware State,0.001,Western Michigan,0.999
Ohio,0.168,Cincinnati,0.832
Nevada,0.515,Toledo,0.485
Western Michigan,0.988,Georgia State,0.012
Miami (OH),0.839,Bowling Green,0.161
Maine,0.667,Central Michigan,0.333
Western Michigan,0.606,Miami (OH),0.394
Eastern Michigan,0.21,San Diego State,0.79
Army,0.566,Buffalo,0.434
Northern Illinois,0.321,Eastern Michigan,0.679
Toledo,0.042,Fresno State,0.958
Buffalo,0.973,Central Michigan,0.027
Eastern Michigan,0.498,Western Michigan,0.502
Northern Illinois,0.574,Ball State,0.426
Ohio,0.251,Kent State,0.749
Miami (OH),0.987,Akron,0.013
Bowling Green,0.526,Toledo,0.474
Akron,0.058,Buffalo,0.942
Ball State,0.004,Ohio,0.996
Toledo,0.067,Eastern Michigan,0.933
Kent State,0.043,Miami (OH),0.957
UMass,0.056,Ohio,0.944
Kent State,0.066,Ball State,0.934
Buffalo,0.731,Toledo,0.269
Toledo,0.861,Western Michigan,0.139
Kent State,0.705,Bowling Green,0.295
Miami (OH),0.129,Buffalo,0.871
Kent State,0.025,Buffalo,0.975
Ohio,0.57,Miami (OH),0.43
Toledo,0.527,Northern Illinois,0.473
Western Michigan,0.816,Ball State,0.184
Buffalo,0.001,Ohio,0.999
Toledo,0.805,Kent State,0.195
Ball State,0.038,Miami (OH),0.962
Northern Illinois,0.431,Buffalo,0.569
Ball State,0.16,Central Michigan,0.84
Ohio,0.069,Northern Illinois,0.931
Western Michigan,0.469,Bowling Green,0.531
Ball State,0.09,Toledo,0.91
Ohio,0.999,Western Michigan,0.001
Bowling Green,0.007,Ohio,0.993
Northern Illinois,0.795,Akron,0.205
Akron,0.202,Ohio,0.798
Eastern Michigan,0.693,Ball State,0.307
Eastern Michigan,0.686,Kent State,0.314
Western Michigan,0.979,Central Michigan,0.021
Akron,0.001,Eastern Michigan,0.999
Northern Illinois,0.05,Western Michigan,0.95
Akron,0.241,Kent State,0.759
Central Michigan,0.107,Toledo,0.893
Army,0.796,Eastern Michigan,0.204
Buffalo,0.929,Bowling Green,0.071
Central Michigan,0.752,Akron,0.248
Northern Illinois,0.332,BYU,0.668
Bowling Green,0.899,Central Michigan,0.101
Bowling Green,0.631,Akron,0.369
Miami (OH),0.62,Army,0.38
San Diego State,0.774,Ohio,0.226
Western Michigan,0.008,BYU,0.992
Georgia Southern,0.401,Eastern Michigan,0.599
Buffalo,0.043,Troy,0.957
Hawai'i,0.361,Colorado State,0.639
Wyoming,0.977,New Mexico State,0.023
San Diego State,0.281,Fresno State,0.719
Boise State,0.98,Troy,0.02
UC Davis,0.918,San Jos̩ State,0.082
Portland State,0.003,Nevada,0.997
Stony Brook,0.019,Air Force,0.981
Idaho,0.0,Fresno State,1.0
Navy,0.322,Hawai'i,0.678
New Mexico State,0.006,Utah State,0.994
Sacramento State,0.302,San Diego State,0.698
Connecticut,0.0,Boise State,1.0
Tennessee Tech,0.003,Utah State,0.997
Hawai'i,0.57,Army,0.43
Wofford,0.133,Wyoming,0.867
New Mexico,0.779,New Mexico State,0.221
Prairie View,0.3,UNLV,0.7
San Diego State,0.91,New Mexico,0.09
UNLV,0.323,Hawai'i,0.677
Illinois State,0.978,Colorado State,0.022
UNLV,0.019,Arkansas State,0.981
BYU,0.572,Boise State,0.428
Air Force,0.142,Utah State,0.858
Fresno State,0.932,UNLV,0.068
Duquesne,0.016,Hawai'i,0.984
Nevada,0.948,Air Force,0.052
UNLV,0.735,San Diego State,0.265
Utah State,0.967,Hawai'i,0.033
Liberty,0.784,New Mexico,0.216
Colorado State,0.005,Nevada,0.995
Boise State,0.863,Wyoming,0.137
Hawai'i,0.079,San Jos̩ State,0.921
Utah State,0.901,BYU,0.099
Navy,0.029,Air Force,0.971
San Diego State,0.864,Boise State,0.136
Fresno State,0.86,Nevada,0.14
Colorado State,0.816,San Jos̩ State,0.184
Wyoming,0.722,Hawai'i,0.278
Air Force,0.269,San Diego State,0.731
Army,0.997,San Jos̩ State,0.003
New Mexico,0.986,UNLV,0.014
Boise State,0.991,New Mexico,0.009
New Mexico,0.163,Colorado State,0.837
UNLV,0.018,Utah State,0.982
Wyoming,0.024,Fresno State,0.976
Hawai'i,0.034,BYU,0.966
Boise State,0.47,Nevada,0.53
Air Force,0.913,UNLV,0.087
UNLV,0.171,San Jos̩ State,0.829
Fresno State,0.557,Boise State,0.443
Wyoming,0.967,Colorado State,0.033
Colorado State,0.33,Air Force,0.67
Utah State,0.229,Wyoming,0.771
San Diego State,0.55,Nevada,0.45
Boise State,0.738,Air Force,0.262
San Jos̩ State,0.156,Wyoming,0.844
Wyoming,0.989,New Mexico,0.011
Fresno State,0.231,Boise State,0.769
Hawai'i,0.015,Fresno State,0.985
Utah State,0.282,Colorado State,0.718
Fresno State,0.909,New Mexico,0.091
Nevada,0.892,San Jos̩ State,0.108
